City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hualmay,-11.0964,-77.6139,20.86,81,79,2.99,PE,1673232931
1,mataura,-46.1927,168.8643,28.6,29,0,2.26,NZ,1673232932
2,sapa,5.1544,120.3241,26.18,83,100,5.33,PH,1673232932
3,saskylakh,71.9167,114.0833,-31.19,98,100,2.93,RU,1673232932
4,ushuaia,-54.8,-68.3,18.81,52,75,2.06,AR,1673232933
5,moron,-34.6534,-58.6198,25.54,77,0,4.88,AR,1673232933
6,nuuk,64.1835,-51.7216,-4.89,84,100,3.74,GL,1673232934
7,ixtapa,20.7,-105.2,19.56,65,1,1.49,MX,1673232934
8,benghazi,32.1167,20.0667,15.29,70,11,1.62,LY,1673232934
9,mut,36.6439,33.4389,4.49,65,0,2.72,TR,1673232773
10,jamestown,42.097,-79.2353,-1.36,73,40,1.54,US,1673232935
11,ukiah,39.1502,-123.2078,12.86,80,75,3.6,US,1673232935
12,dali,25.7,100.1833,12.14,44,0,0.34,CN,1673232663
13,lompoc,34.6391,-120.4579,15.43,78,100,0.89,US,1673232936
14,punta arenas,-53.15,-70.9167,16.06,59,0,2.57,CL,1673232936
15,provideniya,64.3833,-173.3,-14.94,78,100,8.0,RU,1673232937
16,namatanai,-3.6667,152.4333,29.07,69,99,4.31,PG,1673232937
17,katherine,-14.4667,132.2667,32.18,58,40,4.63,AU,1673232937
18,hermanus,-34.4187,19.2345,16.0,91,100,3.05,ZA,1673232938
19,atuona,-9.8,-139.0333,26.02,75,6,6.6,PF,1673232938
20,rikitea,-23.1203,-134.9692,26.0,74,1,6.19,PF,1673232938
21,hithadhoo,-0.6,73.0833,27.32,75,90,4.14,MV,1673232939
22,mar del plata,-38.0023,-57.5575,21.72,92,0,8.94,AR,1673232939
23,san patricio,28.017,-97.5169,18.24,63,95,3.2,US,1673232939
24,sao joao da barra,-21.6403,-41.0511,20.98,95,100,1.96,BR,1673232797
25,busselton,-33.65,115.3333,27.72,37,0,1.77,AU,1673232940
26,hasaki,35.7333,140.8333,12.94,58,0,2.58,JP,1673232825
27,saint-pierre,-21.3393,55.4781,26.06,61,0,2.57,RE,1673232940
28,hofn,64.2539,-15.2082,3.01,66,100,7.58,IS,1673232941
29,tasiilaq,65.6145,-37.6368,-12.07,59,57,3.73,GL,1673232941
30,bredasdorp,-34.5322,20.0403,17.69,95,76,0.78,ZA,1673232941
31,nikolskoye,59.7035,30.7861,-12.06,92,99,4.77,RU,1673232942
32,ancud,-41.8697,-73.8203,15.15,91,76,4.77,CL,1673232942
33,east london,-33.0153,27.9116,19.49,86,1,5.19,ZA,1673232943
34,severo-kurilsk,50.6789,156.125,-3.63,67,99,6.75,RU,1673232943
35,magadan,59.5667,150.8,-19.71,94,100,1.98,RU,1673232912
36,wenatchee,47.4235,-120.3103,4.26,97,100,2.06,US,1673232752
37,necochea,-38.5473,-58.7368,20.06,70,90,7.25,AR,1673232944
38,castro,-24.7911,-50.0119,13.43,99,41,2.78,BR,1673232691
39,porto walter,-8.2686,-72.7439,24.02,76,84,1.23,BR,1673232944
40,clonakilty,51.6231,-8.8706,5.56,75,16,12.3,IE,1673232944
41,yining,29.0361,114.5636,17.73,41,0,0.68,CN,1673232945
42,poplar bluff,36.757,-90.3929,4.88,83,0,0.0,US,1673232728
43,albany,42.6001,-73.9662,-0.99,76,2,0.36,US,1673232945
44,waipawa,-41.4122,175.5153,16.87,67,61,4.84,NZ,1673232946
45,ribeira grande,38.5167,-28.7,17.1,92,100,7.6,PT,1673232859
46,vaini,-21.2,-175.2,31.09,79,75,4.12,TO,1673232946
47,olafsvik,64.8945,-23.7142,0.01,67,100,10.33,IS,1673232947
48,jaguaruna,-28.615,-49.0256,20.74,80,91,2.1,BR,1673232947
49,poltavka,54.3663,71.7632,-27.23,91,100,7.19,RU,1673232947
50,bethanien,-26.502,17.1583,21.8,31,3,1.34,NA,1673232948
51,los llanos de aridane,28.6585,-17.9182,14.86,67,20,4.63,ES,1673232948
52,longyearbyen,78.2186,15.6401,-12.24,97,100,2.03,SJ,1673232949
53,port blair,11.6667,92.75,28.02,69,20,3.09,IN,1673232949
54,georgetown,5.4112,100.3354,29.96,78,20,3.6,MY,1673232949
55,nouadhibou,20.931,-17.0347,19.05,46,8,8.01,MR,1673232950
56,barrow,71.2906,-156.7887,-21.12,94,100,3.25,US,1673232950
